capability_id,"edition","layer","feature","direction",subset_level,"function_code","object_group","variations","qualifiers","std_reference",dut_pics_status,"backend_status","framework_status",test_case_ids,"evidence","owner","notes"
CHANNEL.SERIAL,IEEE1815-2012,CHANNEL,"Asynchronous serial channel",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
CHANNEL.TCP.CLIENT,IEEE1815-2012,CHANNEL,"TCP client channel",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,"IEEE 1815-2012 13.2.2.2; 13.2.3.1.1; 13.2.3.1.4(c); 13.2.3.1.5(f-g)",UNKNOWN,IMPLEMENTED_UNVERIFIED,IMPLEMENTED_UNVERIFIED,"TC_CHANNEL_TCP_CLIENT_CONNECT_001|TC_CHANNEL_TCP_CLIENT_TIMEOUT_001|TC_CHANNEL_TCP_CLIENT_SHUTDOWN_001|TC_CHANNEL_TCP_CLIENT_PYTEST_FIXTURE_001","native/tests/protocol_tests.cpp|python/tests/test_host_tcp.py",PROTOCOL_OWNER,"OpenDNP3 3.1.2 TCP initiating endpoint is locally tested; standard provenance review and independent DNP3 interoperability remain pending"
CHANNEL.TCP.SERVER,IEEE1815-2012,CHANNEL,"TCP listen or server channel",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
CHANNEL.UDP,IEEE1815-2012,CHANNEL,"UDP channel profile",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
CHANNEL.TLS,IEEE1815-2012,CHANNEL,"TLS secured transport channel",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
CHANNEL.RECONNECT,IEEE1815-2012,CHANNEL,"Connection timeout backoff and recovery",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,"IEEE 1815-2012 13.2.3.3.1-13.2.3.3.3; Table 13-2; Table 13-3",UNKNOWN,IMPLEMENTED_UNVERIFIED,IMPLEMENTED_UNVERIFIED,TC_CHANNEL_RECONNECT_FIN_001,python/tests/test_host_tcp.py,PROTOCOL_OWNER,"FIN-triggered automatic reconnect and timeout cleanup are locally tested; independent interoperability remains pending"
LINK.FRAMING,IEEE1815-2012,LINK,"Link frame start length addresses and little-endian fields",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
LINK.CRC,IEEE1815-2012,LINK,"Header and 16-byte user-data block CRC",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
LINK.CONTROL,IEEE1815-2012,LINK,"DIR PRM FCB FCV DFC and link function controls",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
LINK.CONFIRMED_USER_DATA,IEEE1815-2012,LINK,"Confirmed user data acknowledgements retries and FCB alternation",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
LINK.BROADCAST,IEEE1815-2012,LINK,"Broadcast address categories and no-response semantics",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
LINK.SELF_ADDRESS,IEEE1815-2012,LINK,"Self-address behavior",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
LINK.RECOVERY,IEEE1815-2012,LINK,"Malformed duplicate out-of-order busy and disconnect recovery",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
TRANSPORT.HEADER,IEEE1815-2012,TRANSPORT,"FIR FIN and 6-bit transport sequence",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
TRANSPORT.REASSEMBLY,IEEE1815-2012,TRANSPORT,"Application fragment segmentation and reassembly",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
